Bữa sáng,Bữa phụ,Bữa trưa,Bữa tối,Chế độ ăn,Táo bón,Béo phì,Tim mạch,Mỡ trong máu,Huyết áp,Thiếu máu,Thiếu kẽm,Thiếu canxi,Suy dinh dưỡng,Tiểu đường,Tình trạng sức khỏe,Mục tiêu
Yogurt chuối và hạnh nhân + chuối,Khoai tây chiên,Bánh khọt Vũng Tàu; Đậu phụ sốt; Canh rau ngót,Bạch tuộc xào cay Hàn Quốc; Cá hấp,Không chay,0,0,1,1,1,1,0,0,1,1,"Tim mạch, Huyết áp, Rối loạn mỡ máu, Thiếu máu, Suy dinh dưỡng, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Giảm mỡ bão hòa, tăng chất xơ hòa tan, Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm, Ổn định đường huyết, Tăng chất xơ hòa tan"
Trứng tráng nấm,Chè vải hạt sen,Cơm gà Hội An; Rau củ luộc; Canh cá nấu rau,Bún riêu cua; Ức gà áp chảo; Rau luộc,Không chay,1,0,1,0,0,1,0,0,1,1,"Táo bón, Tim mạch, Thiếu máu, Suy dinh dưỡng, Tiểu đường","Tăng chất xơ, uống đủ nước, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm, Ổn định đường huyết, Tăng chất xơ hòa tan"
Chuối hấp,Sữa chua thực vật,Đậu bắp luộc chấm mắm ruốc; Xôi đậu xanh; Canh bí đỏ,Bánh tiêu nhân đậu xanh; Rau muống xào tỏi,chay,0,1,0,0,0,0,0,1,0,0,"Béo phì, Thiếu canxi","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Bổ sung canxi và vitamin D"
Sữa chua Hy Lạp + dâu,Vú sữa lò rèn,Bánh tráng cuốn thịt heo; Cải thìa xào; Canh chua,Xôi đậu xanh; Cải thìa xào,Không chay,1,0,0,0,0,0,0,1,0,0,"Táo bón, Thiếu canxi","Tăng chất xơ, uống đủ nước, Bổ sung canxi và vitamin D"
Bánh kếp yến mạch,Chè dừa dầm ,Hủ tiếu Mỹ Tho; Cá hấp; Cải thìa xào,Bánh khọt Vũng Tàu; Đậu phụ sốt; Rau củ luộc,Không chay,0,1,1,1,0,0,0,0,0,1,"Béo phì, Tim mạch, Rối loạn mỡ máu, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Giảm mỡ bão hòa, tăng chất xơ hòa tan, Ổn định đường huyết, Tăng chất xơ hòa tan"
Trứng tráng nấm,Khoai tây chiên,Tôm hấp bia; Bánh mì; Salad trộn ít dầu,Đậu bắp luộc chấm mắm ruốc; Bò xào nhẹ,Không chay,0,1,1,0,0,1,0,0,0,1,"Béo phì, Tim mạch, Thiếu máu, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bánh mì đen + trứng ốp la,Chè vải hạt sen,Sandwich cá ngừ; Phở; Rau củ luộc,Xôi đậu xanh; Salad trộn ít dầu,Không chay,0,0,1,0,1,1,0,0,1,1,"Tim mạch, Huyết áp, Thiếu máu, Suy dinh dưỡng, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bắp luộc,Đào,Đậu hũ sốt cà chua; Khoai lang; Rau luộc,Bánh mì bơ đường; Canh rau ngót; Trứng luộc,Không chay,0,0,0,0,0,1,0,0,1,0,"Thiếu máu, Suy dinh dưỡng","Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm"
Sinh tố kiwi + ngũ cốc,Chè đậu xanh hạt sen,Bánh mì pate; Tôm nướng; Canh rau ngót,Bánh khọt Vũng Tàu; Ức gà áp chảo; Cải thìa xào,Không chay,0,1,1,0,0,0,0,0,0,1,"Béo phì, Tim mạch, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Ổn định đường huyết, Tăng chất xơ hòa tan"
Kimbap gạo lứt,Sữa chua Hy Lạp ,Bánh mì heo quay; Rau muống xào tỏi; Canh cá nấu rau,Canh khoai mỡ tôm tươi; Trứng luộc,Không chay,0,0,0,0,0,1,0,1,1,0,"Thiếu máu, Suy dinh dưỡng, Thiếu canxi","Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm, Bổ sung canxi và vitamin D"
Chuối hấp,Bánh lá nước cốt dừa,Lẩu tôm chua cay; Khoai lang; Rau muống xào tỏi,Lẩu tôm chua cay; Salad trộn ít dầu,Không chay,0,1,1,0,1,0,0,0,0,1,"Béo phì, Tim mạch, Huyết áp, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bánh kếp yến Bánh mì nướng bơ đậu phộng và chuối,Đào,Bánh mì pate; Bò xào nhẹ; Cải thìa xào,Bánh chuối chiên; Rau muống xào tỏi; Tôm nướng,Không chay,0,0,0,0,1,0,0,0,0,0,Huyết áp,"Giảm muối, ổn định huyết áp"
Bắp luộc,Chè dừa dầm ,Bánh chuối chiên; Bò xào nhẹ; Salad trộn ít dầu,Bánh cuốn Thanh Trì; Tôm nướng; Salad trộn ít dầu,Không chay,0,0,0,0,0,0,0,0,1,0,Suy dinh dưỡng,"Tăng cân, bổ sung năng lượng và đạm"
Nước ép táo + bánh crepe chuối,Chè đậu xanh hạt sen,Gỏi cuốn tôm thịt; Phở; Canh bí đỏ,Bò xào cần tỏi; Trứng luộc,Không chay,0,0,0,1,0,1,1,0,0,0,"Rối loạn mỡ máu, Thiếu máu, Thiếu kẽm","Giảm mỡ bão hòa, tăng chất xơ hòa tan, Bổ sung sắt, tăng cường máu, Bổ sung kẽm và đạm"
Sinh tố kiwi + ngũ cốc,Xoài chín,Xôi gấc; Trứng luộc; Salad trộn ít dầu,Canh măng nấu vịt; Ức gà áp chảo,Không chay,1,0,1,0,0,0,0,0,1,1,"Táo bón, Tim mạch, Suy dinh dưỡng, Tiểu đường","Tăng chất xơ, uống đủ nước, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Tăng cân, bổ sung năng lượng và đạm, Ổn định đường huyết, Tăng chất xơ hòa tan"
Yến mạch + dâu tây,Hạt hạnh nhân,Cơm niêu cá kho tộ; Rau củ luộc; Canh bí đỏ,Bánh mì bơ đường; Rau muống xào tỏi; Cá hấp,Không chay,0,1,1,1,1,0,1,0,0,1,"Béo phì, Tim mạch, Huyết áp, Rối loạn mỡ máu, Thiếu kẽm, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Giảm mỡ bão hòa, tăng chất xơ hòa tan, Bổ sung kẽm và đạm, Ổn định đường huyết, Tăng chất xơ hòa tan"
Sữa chua Hy Lạp + dâu,Vú sữa lò rèn,Canh kim chi Hàn Quốc; Phở; Cá hấp,Đậu bắp luộc chấm mắm ruốc; Bò xào nhẹ,Không chay,1,0,0,0,0,0,0,1,1,0,"Táo bón, Suy dinh dưỡng, Thiếu canxi","Tăng chất xơ, uống đủ nước, Tăng cân, bổ sung năng lượng và đạm, Bổ sung canxi và vitamin D"
Bắp luộc ốp la,Chè đậu xanh hạt sen,Cháo vịt; Đậu phụ sốt; Canh rau ngót,Sandwich cá ngừ; Rau luộc,Không chay,0,0,1,0,0,1,0,0,1,1,"Tim mạch, Thiếu máu, Suy dinh dưỡng, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bắp luộc,Đào,Bánh xèo miền Trung; Tôm nướng; Rau muống xào tỏi,Cơm niêu cá kho tộ; Cải thìa xào,Không chay,1,1,0,0,0,1,0,0,0,0,"Táo bón, Béo phì, Thiếu máu","Tăng chất xơ, uống đủ nước, Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Bổ sung sắt, tăng cường máu"
Kimbap gạo lứt,Vú sữa lò rèn,Bánh mì pate; Bò xào nhẹ; Rau muống xào tỏi,Hủ tiếu bò kho; Canh rau ngót,Không chay,1,0,0,0,0,1,0,0,0,0,"Táo bón, Thiếu máu","Tăng chất xơ, uống đủ nước, Bổ sung sắt, tăng cường máu"
Yogurt chuối và hạnh nhân,Sữa chua thực vật,Sandwich cá ngừ chay; Cải thìa xào; Chả Lụa Chay Kho Nước Tương,Chả giò chay; Thịt nạc kho tiêu (món chay),chay,0,1,0,0,0,0,0,1,0,0,"Béo phì, Thiếu canxi","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Bổ sung canxi và vitamin D"
Bánh crep ngũ cốc,Chè dừa dầm,Sườn chay khìa sốt tiêu đen; Sườn chay khìa sốt tiêu đen; Rau muống xào tỏi,Rau luộc; Rau luộc; Xào chay thập cẩm với nấm bào ngư,chay,0,0,1,0,0,0,0,0,0,1,"Tim mạch, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Ổn định đường huyết, Tăng chất xơ hòa tan"
Kimbap gạo lứt,Vú sữa lò rèn,Canh kim chi Hàn Quốc; Khoai lang; Tôm nướng,Cơm tấm sườn bì chả; Cải thìa xào,Không chay,0,1,0,0,0,1,0,0,0,0,"Béo phì, Thiếu máu","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Bổ sung sắt, tăng cường máu"
Phô mai tươi và trái cây,Đào,Lẩu cá kèo lá giang; Khoai lang; Cải thìa xào,Cơm niêu cá kho tộ; Rau muống xào tỏi,Không chay,0,1,0,1,1,0,0,0,0,0,"Béo phì, Huyết áp, Rối loạn mỡ máu","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ hòa tan"
Yogurt chuối và hạnh nhân + chuối,Chè đậu xanh hạt sen,Bánh bèo Huế; Trứng luộc; Canh rau ngót,Gỏi cuốn tôm thịt; Rau củ luộc,Không chay,0,1,1,1,1,1,0,0,0,1,"Béo phì, Tim mạch, Huyết áp, Rối loạn mỡ máu, Thiếu máu, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Giảm mỡ bão hòa, tăng chất xơ hòa tan, Bổ sung sắt, tăng cường máu, Ổn định đường huyết, Tăng chất xơ hòa tan"
Kimbap gạo lứt,Sữa chua Hy Lạp,Gà hấp muối; Cơm trắng; Salad trộn ít dầu,Bánh mì thịt nguội; Rau củ luộc,Không chay,0,0,1,0,0,1,0,1,1,1,"Tim mạch, Thiếu máu, Suy dinh dưỡng, Thiếu canxi, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm, Bổ sung canxi và vitamin D, Ổn định đường huyết, Tăng chất xơ hòa tan"
Nước ép táo + bánh crepe chuối, Bánh chuối cacao hấp nướng,Đậu bắp luộc chấm mắm ruốc; Cơm trắng; Canh mồng tơi,Xôi gấc; Salad trộn ít dầu; Tôm nướng,Không chay,0,1,1,0,0,0,0,0,0,1,"Béo phì, Tim mạch, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bánh crep ngũ cốc, Bánh chuối cacao hấp nướng,Xôi bắp; Trứng luộc; Canh rau ngót,Bánh khoai mì nướng; Rau luộc; Cá hấp,Không chay,0,0,1,0,0,1,0,0,1,1,"Tim mạch, Thiếu máu, Suy dinh dưỡng, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bánh chuối bơ lạc ốp la,Khoai tây chiên,Bún riêu cua; Trứng luộc; Canh rau ngót,Bánh bèo Huế; Cá hấp; Rau muống xào tỏi,Không chay,1,1,0,0,0,1,0,0,0,0,"Táo bón, Béo phì, Thiếu máu","Tăng chất xơ, uống đủ nước, Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Bổ sung sắt, tăng cường máu"
Bơ nướng trứng,Sữa chua Hy Lạp,Bánh mì thịt nguội; Cải thìa xào; Canh cá nấu rau,Cháo hải sản; Rau củ luộc; Bánh mì nhỏ,Không chay,0,1,0,0,0,1,0,1,0,0,"Béo phì, Thiếu máu, Thiếu canxi","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Bổ sung sắt, tăng cường máu, Bổ sung canxi và vitamin D"
Bơ nướng trứng,Sữa chua Hy Lạp,Canh khoai mỡ tôm tươi; Cơm trắng; Kim chi ít cay,Cháo gà; Canh rau ngót,Không chay,0,0,0,0,0,1,0,1,1,0,"Thiếu máu, Suy dinh dưỡng, Thiếu canxi","Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm, Bổ sung canxi và vitamin D"
Yogurt chuối và hạnh nhân + chuối,Xoài chín,Lẩu ếch măng chua; Miến; Bò xào nhẹ,Cháo hải sản; Canh rau ngót,Không chay,0,0,1,1,1,0,1,0,0,1,"Tim mạch, Huyết áp, Rối loạn mỡ máu, Thiếu kẽm, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Giảm mỡ bão hòa, tăng chất xơ hòa tan, Bổ sung kẽm và đạm, Ổn định đường huyết, Tăng chất xơ hòa tan"
Phở gạo lứt xào sốt cà chua hấp,Sữa chua thực vật,Bánh tiêu nhân đậu xanh; Đậu hũ túi tiền chay; Khổ qua xào chay nửa vời,Nấm Lộc Nhung Xào Cải Rổ Chay; Chà bông chay; Canh rau ngót,chay,0,1,0,0,0,0,0,1,0,0,"Béo phì, Thiếu canxi","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Bổ sung canxi và vitamin D"
Phở gạo lứt xào sốt cà chua hấp,Nước ép táo + bánh crepe chuối,Chả cốm chay; Bún chả cá chay; Cải thìa xào,Mì lá tươi cuộn chay; Đậu phụ sốt; Rau củ luộc,chay,0,1,1,0,0,0,0,0,0,1,"Béo phì, Tim mạch, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Ổn định đường huyết, Tăng chất xơ hòa tan"
Phô mai tươi và trái cây,Chuối,Cơm niêu cá kho tộ; Cải thìa xào; Canh cá nấu rau,Canh đậu hũ non hải sản; Cá hấp,Không chay,0,1,0,1,1,0,0,0,0,0,"Béo phì, Huyết áp, Rối loạn mỡ máu","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ hòa tan"
Phở gạo lứt xào sốt cà chua hấp,Nước ép táo + bánh crepe chuối,Mì lá tươi cuộn chay; Hoành thánh chay chiên; Rau củ luộc,Bì Cuốn Nấm Chay; Rau luộc,chay,0,0,0,1,1,1,0,0,0,0,"Huyết áp, Rối loạn mỡ máu, Thiếu máu","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ hòa tan, Bổ sung sắt, tăng cường máu"
Yogurt chuối và hạnh nhân,Sữa chua thực vật,Bò xào lúc lắc chay; Viên tứ hỉ chay; Rau muống xào tỏi,Cà tím nướng xạ hương chay; Rau củ luộc,chay,0,1,1,1,1,0,0,1,0,1,"Béo phì, Tim mạch, Huyết áp, Rối loạn mỡ máu, Thiếu canxi, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Giảm mỡ bão hòa, tăng chất xơ hòa tan, Bổ sung canxi và vitamin D, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bún xào rau củ,Xoài chín,Thịt nạc kho tiêu (món chay); Su su hấp/luộc đậu hũ chay; Rau luộc,Sườn chay dồn thịt chiên; Rau củ luộc,chay,1,0,0,0,0,0,0,0,0,0,Táo bón,"Tăng chất xơ, uống đủ nước"
Phô mai tươi và trái cây,Đào,Bánh pancake mật ong; Bò xào nhẹ; Rau muống xào tỏi,Cơm ba chỉ kho tàu; Rau củ luộc; Đậu phụ hấp,Không chay,0,1,0,1,1,0,0,0,0,0,"Béo phì, Huyết áp, Rối loạn mỡ máu","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ hòa tan"
Bơ nướng trứng,Sữa chua Hy Lạp ,Gà xào sả ớt; Phở; Canh cá nấu rau,Bánh mì trứng ốp la; Canh rau ngót,Không chay,0,0,1,0,0,1,0,1,1,1,"Tim mạch, Thiếu máu, Suy dinh dưỡng, Thiếu canxi, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm, Bổ sung canxi và vitamin D, Ổn định đường huyết, Tăng chất xơ hòa tan"
Yogurt chuối và hạnh nhân + chuối,Chè đậu xanh hạt sen,Sandwich trứng; Phở; Salad trộn ít dầu,Canh gà lá giang; Bò xào nhẹ,Không chay,0,0,1,0,1,0,0,0,1,1,"Tim mạch, Huyết áp, Suy dinh dưỡng, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Tăng cân, bổ sung năng lượng và đạm, Ổn định đường huyết, Tăng chất xơ hòa tan"
Sữa chua Hy Lạp + dâu,Chè khúc bạch,Hủ tiếu Mỹ Tho; Cá hấp; Cải thìa xào,Xôi bắp; Salad trộn ít dầu; Tôm nướng,Không chay,0,0,0,0,0,0,0,1,1,0,"Suy dinh dưỡng, Thiếu canxi","Tăng cân, bổ sung năng lượng và đạm, Bổ sung canxi và vitamin D"
Sữa chua Hy Lạp + dâu,Chè khúc bạch,Bánh mì thịt nguội; Rau muống xào tỏi; Canh chua,Súp cua trứng bắc thảo; Cải thìa xào,Không chay,0,0,0,0,0,1,0,1,1,0,"Thiếu máu, Suy dinh dưỡng, Thiếu canxi","Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm, Bổ sung canxi và vitamin D"
Súp khoai tây,Khoai tây chiên,Gỏi cuốn tôm thịt; Cơm trắng; Canh mồng tơi,Lẩu vịt nấu chao; Ức gà áp chảo; Cải thìa xào,Không chay,1,0,0,0,0,0,0,1,1,0,"Táo bón, Suy dinh dưỡng, Thiếu canxi","Tăng chất xơ, uống đủ nước, Tăng cân, bổ sung năng lượng và đạm, Bổ sung canxi và vitamin D"
Bánh chuối bơ lạc ốp la,Khoai tây chiên,Chân giò hầm hạt sen; Phở; Trứng luộc,Bánh khọt Vũng Tàu; Cá hấp; Rau luộc,Không chay,0,0,1,0,0,1,0,0,1,1,"Tim mạch, Thiếu máu, Suy dinh dưỡng, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bánh chuối bơ lạc ốp la,Sữa chua Hy Lạp,Bánh mì pate; Bò xào nhẹ; Rau luộc,Lẩu ếch măng chua; Đậu phụ sốt; Rau củ luộc,Không chay,0,0,0,0,0,1,0,1,1,0,"Thiếu máu, Suy dinh dưỡng, Thiếu canxi","Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm, Bổ sung canxi và vitamin D"
Bơ nướng trứng,Chuối sáp luộc,Chân giò hầm hạt sen; Phở; Trứng luộc,Bún thang; Đậu phụ sốt; Rau luộc,Không chay,0,0,1,0,0,1,0,0,0,1,"Tim mạch, Thiếu máu, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Ổn định đường huyết, Tăng chất xơ hòa tan"
Yogurt chuối và hạnh nhân,Sữa chua thực vật,Bún xào chay; Rau củ luộc; Canh bí đỏ,Rau muống hấp/luộc tỏi; Canh rau ngót,chay,0,1,1,1,1,0,0,1,0,1,"Béo phì, Tim mạch, Huyết áp, Rối loạn mỡ máu, Thiếu canxi, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Giảm mỡ bão hòa, tăng chất xơ hòa tan, Bổ sung canxi và vitamin D, Ổn định đường huyết, Tăng chất xơ hòa tan"
